FishId,FishName,ScientificName,Category,Family,Rarity,MinLength_cm,MaxLength_cm,MinWeight_kg,MaxWeight_kg,HabitatLayer,ActiveTime,PreferredBait,FightPower,BasePrice_Gold,ExpReward,BaseMutationRate,Description
89,食人鱼,Pygocentrus nattereri,淡水鱼,锯脂鲤科 Serrasalmidae,4,10.0,30.0,0.02,0.80,中上层,白天,7;8;9;34,6,40,25,0.05,又名红腹锯脂鲤，牙齿锋利如刀片。亚马逊河最臭名昭著的鱼。群起攻击时可在数分钟内将大型动物啃成白骨，但其实多数时候只吃小鱼和腐肉。
90,电鳗,Electrophorus electricus,淡水鱼,电鳗科 Electrophoridae,7,60.0,200.0,3.00,30.0,底层,夜间,7;9;18;34,9,300,160,0.09,能释放600-800伏高压电击的史上最强生物发电机。亚马逊浑浊水域中的顶级猎手。不是真正的鳗鱼而属刀鱼目，钓它需要绝缘装备和极大勇气。
91,雀鳝,Lepisosteus oculatus,淡水鱼,雀鳝科 Lepisosteidae,5,30.0,120.0,0.50,20.0,中上层,白天,7;9;11;13;14;34,7,150,80,0.06,吻部如鳄鱼般细长布满利齿，鳞片如铠甲珐琅质。来自恐龙时代的活化石。肉有毒人类不可食用，但搏斗体验无与伦比。
92,鳄雀鳝,Atractosteus spatula,淡水鱼,雀鳝科 Lepisosteidae,8,60.0,250.0,5.00,140.0,中上层,白天,7;9;14;34;35,10,450,240,0.10,雀鳝之王，最大可超3米。北美墨西哥湾沿岸河中巨怪。两张嘴结构能吞下巨物，咬合力惊人，是淡水终极怪物之一。
93,多鳍鱼,Polypterus senegalus,淡水鱼,多鳍鱼科 Polypteridae,5,15.0,40.0,0.05,0.80,底层,夜间,1;2;3;7;10;18,4,80,42,0.06,又称恐龙鱼，拥有原始肺和多个分离背鳍。非洲的活化石，能在低氧水域直接用肺呼吸。背上那一排小旗子般的鳍是它的标志。
94,弓鳍鱼,Amia calva,淡水鱼,弓鳍鱼科 Amiidae,6,25.0,80.0,0.40,6.00,中下层,夜间,7;8;9;11;13;16;34,7,160,85,0.07,北美原始淡水鱼，同样来自恐龙时代。能用鱼鳔当肺呼吸空气。雄鱼筑巢护卵极凶猛，咬断过不少粗心钓手的鱼线。
95,七鳃鳗,Petromyzon marinus,洄游鱼,七鳃鳗科 Petromyzontidae,6,20.0,80.0,0.05,1.50,底层,夜间,1;2;7;10,4,180,95,0.08,无颌类的活化石，嘴如吸盘布满角质齿。寄生性，吸附在其他鱼身上吸血。古罗马人视为极品美味，但长相确实令人毛骨悚然。
96,真鲷,Pagrus major,海水鱼,鲷科 Sparidae,4,15.0,60.0,0.1,4.0,中下层,白天,8;18;20,5,90,48,0.05,体侧扁呈鲜红色，尾鳍边缘黑色。日本象征性贺鱼，'めでたい'（可喜可贺）的谐音。肉质顶级，是高级寿司的招牌食材。
97,黑鲷,Acanthopagrus schlegelii,海水鱼,鲷科 Sparidae,3,15.0,50.0,0.1,2.5,中下层,白天,8;18;23;24;26,4,50,28,0.04,体灰黑侧扁，背鳍硬棘锋利。近海岩礁区常见，杂食性什么都吃。初学者的海水钓入门鱼，但大个体同样狡猾。
98,黄鳍鲷,Acanthopagrus latus,海水鱼,鲷科 Sparidae,4,12.0,40.0,0.05,1.5,中下层,白天,8;18;23;24,4,65,35,0.04,体银白腹鳍和臀鳍鲜黄。南方温暖海域常见，河口咸淡水区域也有。肉质鲜甜，清蒸最佳。
99,平鲷,Rhabdosargus sarba,海水鱼,鲷科 Sparidae,3,12.0,40.0,0.06,2.0,中下层,白天,8;18;23;24,4,45,25,0.03,体银白有金黄色纵纹。热带和亚热带近海群居鱼种。喜欢沙泥底质，在冲浪区觅食被海浪冲出的底栖生物。
100,赤点石斑鱼,Epinephelus akaara,海水鱼,鮨科 Serranidae,5,20.0,80.0,0.25,10.0,底层,晨昏,8;9;18;20;34,7,180,95,0.06,体棕褐散布橘红色斑点。伏击型底栖掠食者，常藏在礁石缝隙中。肉质弹牙鲜美，是高级海鲜酒楼的招牌。
101,龙胆石斑,Epinephelus lanceolatus,海水鱼,鮨科 Serranidae,8,60.0,250.0,5.0,300.0,底层,全天,8;9;18;20;34;35,10,600,350,0.1,石斑鱼之王，最大可超3米400公斤。世界最大珊瑚礁鱼之一。身披不规则黄黑斑纹，嘴大能吞下小型鲨鱼。
102,东星斑,Plectropomus leopardus,海水鱼,鮨科 Serranidae,7,20.0,70.0,0.25,5.0,底层,白天,8;9;18;20,6,350,180,0.08,通体鲜红散布蓝色小点如星空。珊瑚礁中最美丽的猎手。极度名贵，一条大东星斑在海鲜市场能卖到上万元。
103,老鼠斑,Cromileptes altivelis,海水鱼,鮨科 Serranidae,7,15.0,50.0,0.1,2.5,底层,白天,8;9;18;20,5,320,165,0.08,体白散布黑色圆斑，头部扁平似鼠。石斑鱼中最名贵的品种之一。肉质极为细嫩，入口即化，是海鲜中的劳斯莱斯。
104,云纹石斑,Epinephelus moara,海水鱼,鮨科 Serranidae,5,25.0,90.0,0.4,12.0,底层,晨昏,8;9;18;20;34,7,200,105,0.06,体灰褐有大块云状斑纹。温带海域常见大型石斑。体型比赤点石斑更大，力量更强，是矶钓的热门目标。
105,七带石斑,Epinephelus septemfasciatus,海水鱼,鮨科 Serranidae,5,20.0,70.0,0.25,6.0,底层,白天,8;9;18;20,6,170,90,0.05,体侧有七条深色横带。西北太平洋温带石斑代表。夏季活跃冬季深潜，季节性明显。幼鱼还会漂在海草中伪装。
106,大黄鱼,Larimichthys crocea,海水鱼,石首鱼科 Sciaenidae,6,20.0,60.0,0.2,3.0,中下层,夜间,8;18;20;23,4,250,130,0.07,体金黄口唇橙红，鳔能发出'咕咕'叫声。中国昔日最重要的经济海鱼，现已极度枯竭。野生大黄鱼千金难求，堪称海中黄金。
107,小黄鱼,Larimichthys polyactis,海水鱼,石首鱼科 Sciaenidae,3,10.0,30.0,0.02,0.4,中下层,夜间,1;3;8;18;23;24,2,40,22,0.03,大黄鱼的小号亲戚，体银灰。春汛冬汛两季最肥。炸小黄鱼是很多海边人的童年记忆，外酥里嫩。
108,带鱼,Trichiurus lepturus,海水鱼,带鱼科 Trichiuridae,2,30.0,120.0,0.1,2.5,中层,夜间,8;9;11;13;18;20;34,5,25,15,0.03,体极长侧扁如银色长刀，无尾鳍。垂直洄游夜间上浮白天潜伏深海。牙齿锋利成群捕食，一旦找到鱼群拉都拉不完。
109,银鲳,Pampus argenteus,海水鱼,鲳科 Stromateidae,3,10.0,35.0,0.04,1.0,中上层,白天,8;23;24;26;29,3,35,18,0.03,体菱形银白极侧扁，无腹鳍。近海中上层集群活动。肉质细嫩少刺，鲳与昌同音，是节庆餐桌上的吉祥鱼。
110,金鲳,Trachinotus ovatus,海水鱼,鲹科 Carangidae,3,15.0,50.0,0.08,2.5,中上层,白天,8;9;11;13;14,5,40,22,0.03,体卵圆侧扁银灰，鳍金黄色。暖水近海常见，游泳速度极快。养殖量大价格亲民，但野生大金鲳拉力仍不可小觑。
111,许氏平鲉,Sebastes schlegelii,海水鱼,平鲉科 Sebastidae,3,12.0,40.0,0.05,1.5,底层,全天,8;9;16;17;18,4,40,22,0.04,体黑褐，背鳍硬棘有毒腺。北方岩礁区域最常见底栖鱼之一。卵胎生，小鱼直接从母体产出。肉质白嫩，刺身和火锅皆宜。
112,褐菖鲉,Sebastiscus marmoratus,海水鱼,平鲉科 Sebastidae,2,8.0,25.0,0.02,0.4,底层,全天,1;8;16;17;18;24,3,20,10,0.03,俗称石头鱼，体色与礁石完美融为一体。趴着不动时极难发现。肉味极鲜但处理时要当心毒刺，矶钓人的常见收获。
113,鬼鲉,Inimicus japonicus,海水鱼,毒鲉科 Synanceiidae,5,10.0,30.0,0.03,0.6,底层,全天,1;8;18,3,120,60,0.06,世界最毒鱼之一，背鳍毒液可致命。伪装成一块不起眼的石头伏击猎物。钓到它如同拆弹，需极度小心处理。
114,六线鱼,Hexagrammos otakii,海水鱼,六线鱼科 Hexagrammidae,2,10.0,35.0,0.02,0.6,底层,白天,1;8;16;18;24,3,20,10,0.02,体侧有5-6条侧线，体色随环境变化。北方岩礁区的标志性底栖鱼。肉味鲜美，尤其是秋冬季节油脂丰厚。
115,大泷六线鱼,Hexagrammos otakii,海水鱼,六线鱼科 Hexagrammidae,3,15.0,45.0,0.06,1.5,底层,白天,1;8;16;18;24,3,30,16,0.02,与六线鱼同物异名，体型稍大。北方海域常见，全年可钓。耐寒能力出众，冰钓也能钓获。
116,鲬鱼,Platycephalus indicus,海水鱼,鲬科 Platycephalidae,3,15.0,50.0,0.06,2.0,底层,白天,1;7;8;9;18;34,4,35,20,0.03,头部极度扁平如鳄鱼，伏击型底栖掠食者。埋在沙中只露双眼，猎物经过暴起攻击。长相奇怪但肉质细嫩。
117,大鲬,Platycephalus fuscus,海水鱼,鲬科 Platycephalidae,4,20.0,70.0,0.15,4.0,底层,白天,7;8;9;18;34,5,55,30,0.04,比普通鲬鱼更大型。澳大利亚和新几内亚海域常见。扁平的身体让它能钻进极窄的岩缝中伏击，堪称底层幽灵。
118,太平洋鳕,Gadus macrocephalus,海水鱼,鳕科 Gadidae,4,25.0,80.0,0.3,8.0,底层,全天,7;8;9;18;20;34,5,70,38,0.04,体延长灰绿有黄斑，下颌有须。冷水底层群居鱼，三大商业渔业之一。大西洋鳕鱼曾引发战争，足见其价值。
119,黑线鳕,Melanogrammus aeglefinus,海水鱼,鳕科 Gadidae,3,15.0,55.0,0.08,2.5,底层,白天,7;8;9;18;20,4,40,22,0.03,体侧有特征性黑斑（圣彼得指印）。英国炸鱼薯条的经典选料。冷海水底层群居，商业拖网的主要目标。
120,大西洋鳕,Gadus morhua,海水鱼,鳕科 Gadidae,5,30.0,120.0,0.5,30.0,底层,全天,7;8;9;18;20;34,6,130,70,0.05,史上最具经济价值的鱼类，纽芬兰渔场曾取之不尽。1992年彻底崩溃至今未恢复。钓到一条大西洋鳕，是致敬历史的仪式。
121,青鳕,Pollachius virens,海水鱼,鳕科 Gadidae,3,20.0,70.0,0.15,5.0,中层,白天,8;9;11;13;18;20,5,40,22,0.03,体延长背部深绿。比鳕鱼更活跃，常在中层追食小鱼。路亚钓青鳕在挪威是国民级休闲活动。
122,牙鲆,Paralichthys olivaceus,海水鱼,牙鲆科 Paralichthyidae,4,15.0,60.0,0.06,3.5,底层,白天,1;7;8;9;18;34,4,65,35,0.04,两眼在身体左侧，体色随底质变化。伏击型大型比目鱼，俗称左口。顶级食用鱼，刺身中的白肉之王。
123,大菱鲆,Scophthalmus maximus,海水鱼,菱鲆科 Scophthalmidae,5,20.0,80.0,0.25,10.0,底层,白天,7;8;9;18;34,5,120,65,0.05,体近菱形无鳞，两眼在左侧。欧洲名贵食用鱼，中国引入养殖称多宝鱼。伏击型捕食者，能吞下自身一半大的猎物。
124,半滑舌鳎,Cynoglossus semilaevis,海水鱼,舌鳎科 Cynoglossidae,3,10.0,40.0,0.02,1.0,底层,夜间,1;3;8;10;18,2,40,20,0.03,体极侧扁如鞋底，两眼在左侧。俗称鳎目鱼或龙利鱼。肉质极为细嫩，入口即化，清蒸为上。
125,星斑川鲽,Platichthys stellatus,海水鱼,鲽科 Pleuronectidae,3,15.0,55.0,0.06,2.5,底层,白天,1;7;8;18;24,3,45,25,0.03,体散布星状骨质突起。北美西海岸常见比目鱼。冬季入河产卵春季返海，能耐受完全的淡水环境。
126,蓝鳍金枪鱼,Thunnus thynnus,海水鱼,鲭科 Scombridae,9,60.0,350.0,8.0,600.0,中上层,白天,8;9;11;12;13;15;20;34;35,10,1500,800,0.15,海洋极速猎手，最高时速80km/h，体温比水温高10°C。东京筑地市场一条可拍出数千万日元。渔业过度导致种群崩溃，游戏中的终极目标。
127,黄鳍金枪鱼,Thunnus albacares,海水鱼,鲭科 Scombridae,7,40.0,200.0,3.0,180.0,中上层,白天,8;9;11;12;13;15;20;34,10,450,240,0.08,体纺锤形，第二背鳍和臀鳍极长呈镰刀状鲜黄。热带远洋最常见金枪鱼。速度耐力兼备，搏斗可持续数小时。
128,大眼金枪鱼,Thunnus obesus,海水鱼,鲭科 Scombridae,7,40.0,200.0,3.0,150.0,中层,白天,8;9;11;12;13;20;34,9,400,210,0.08,眼大无比体粗壮，深海中层活动。垂直洄游范围极大，白天在深层夜间上浮。脂肪含量高于黄鳍，大トロ的口感更醇厚。
129,长鳍金枪鱼,Thunnus alalunga,海水鱼,鲭科 Scombridae,6,30.0,120.0,1.5,35.0,中上层,白天,8;9;11;12;13;20,8,250,130,0.07,胸鳍极长可达臀鳍。俗称白金枪，肉质浅粉白。罐装金枪鱼的主力来源，但新鲜刺身同样迷人。
130,鲣鱼,Katsuwonus pelamis,海水鱼,鲭科 Scombridae,4,25.0,80.0,0.8,10.0,中上层,白天,8;9;11;12;13;20,8,100,55,0.05,体纺锤形侧腹有数条深色纵纹。金枪鱼群的前锋侦察兵，找到鲣鱼群就意味着金枪鱼也不远了。日式高汤出汁的灵魂原料。
131,旗鱼,Istiophorus platypterus,海水鱼,旗鱼科 Istiophoridae,9,80.0,350.0,10.0,150.0,表层,白天,8;9;11;12;13;14;15;20;34;35,10,1200,650,0.12,第一背鳍高耸如帆，上颌延长呈剑状。海洋最快鱼类之一，时速可达110km/h。中钩后在海面疯狂跳跃，视觉效果爆炸。
132,蓝枪鱼,Makaira nigricans,海水鱼,旗鱼科 Istiophoridae,9,80.0,400.0,15.0,600.0,表层,白天,8;9;11;12;13;14;15;20;34;35,10,1400,750,0.12,旗鱼科巅峰巨物，《老人与海》的原型。上颌如长枪可刺穿船板。海明威笔下的终极对手，钓上蓝枪鱼是深海钓的最高勋章。
133,剑鱼,Xiphias gladius,海水鱼,剑鱼科 Xiphiidae,8,60.0,300.0,8.0,400.0,中层,夜间,8;9;11;12;13;20;34;35,10,800,420,0.1,上颌延长如扁平长剑，可刺穿金枪鱼甚至小型鲸类。夜间深层觅食白天深潜。体内有特殊器官加热眼部以提升暗光战斗力。
134,鲯鳅,Coryphaena hippurus,海水鱼,鲯鳅科 Coryphaenidae,5,25.0,100.0,0.5,15.0,表层,白天,8;9;11;12;13;14;15;20,8,130,70,0.06,体极侧扁，活时通体闪着蓝绿金光（死后迅速褪色）。俗称鬼头刀，是远洋漂流物下的常见鱼种。高速追食飞鱼，中钩后不断跳出海面洗鳃。
135,军曹鱼,Rachycentron canadum,海水鱼,军曹鱼科 Rachycentridae,5,30.0,120.0,0.6,20.0,中上层,白天,8;9;11;12;13;14;20;34,7,140,75,0.06,体延长如鱼雷，背部深褐腹白。常跟随鲨鱼、海龟甚至船只游弋。俗称海鲡，肉质结实适合煎烤。
136,鰤鱼,Seriola quinqueradiata,海水鱼,鲹科 Carangidae,6,25.0,100.0,0.4,12.0,中上层,白天,8;9;11;12;13;14;20,9,200,105,0.06,又名青甘或寒鰤，随年龄有不同称呼。冬季油脂最丰厚时是刺身的巅峰之选。搏斗力极强，是日本磯釣的终极目标。
137,黄条鰤,Seriola lalandi,海水鱼,鲹科 Carangidae,6,25.0,120.0,0.5,25.0,中上层,白天,8;9;11;12;13;14;20,9,220,115,0.07,鰤鱼的南半球近亲，体型可以更大。澳大利亚和新西兰顶级路亚目标。Yellowtail Kingfish，力量为王速度无双。
138,牛港鲹,Caranx ignobilis,海水鱼,鲹科 Carangidae,8,40.0,160.0,2.0,60.0,中上层,白天,8;9;11;12;13;14;15;20;34,10,400,210,0.09,体高如巨无霸，银灰侧扁。热带珊瑚礁和近海的顶级掠食者。被路亚爱好者尊称为GT（Giant Trevally）。攻击水面饵时的炸水能吓哭新手。
139,六带鲹,Caranx sexfasciatus,海水鱼,鲹科 Carangidae,5,20.0,80.0,0.25,7.0,中上层,白天,8;9;11;12;13;14,7,120,65,0.05,牛港鲹的小号版本，同样凶猛好斗。幼鱼常躲在水母触手中。群居出动围捕小鱼，规模作战效率惊人。
140,马鲛鱼,Scomberomorus niphonius,海水鱼,鲭科 Scombridae,4,25.0,90.0,0.3,8.0,中上层,白天,8;9;11;12;13;20;34,8,80,42,0.04,体延长侧扁，牙齿锋利如锯齿。中国北方俗称鲅鱼，是饺子馅的经典选择。近海顶级掠食者，切水线如刀。
141,康氏马鲛,Scomberomorus commerson,海水鱼,鲭科 Scombridae,7,30.0,180.0,0.6,40.0,中上层,白天,8;9;11;12;13;14;15;20;34,9,350,185,0.08,马鲛之王，热带印度太平洋的顶级猎手。体侧有波纹状斑纹。速度惊人，铁板钓的主要目标之一。
142,金带梅鲷,Caesio chrysozona,海水鱼,梅鲷科 Caesionidae,2,10.0,30.0,0.02,0.3,中层,白天,3;4;8;24;26;29,2,15,8,0.02,体纺锤形侧有金色纵带。珊瑚礁中层群游鱼类，数量庞大如云。是金枪鱼等大型掠食者的主要食物，同时也是初学者海水钓的入门鱼。
143,红笛鲷,Lutjanus erythropterus,海水鱼,笛鲷科 Lutjanidae,4,15.0,60.0,0.1,3.0,底层,夜间,8;9;18;20;34,5,70,38,0.04,体红银白相间，热带珊瑚礁区常见底层鱼。俗称红鱼，粤菜清蒸的不二之选。夜间觅食凶猛，咬口极重。
144,千年笛鲷,Lutjanus sebae,海水鱼,笛鲷科 Lutjanidae,6,20.0,80.0,0.25,8.0,底层,夜间,8;9;18;20;34,6,160,85,0.06,体红白，幼鱼有深色条纹如帝舵。又称皇帝鱼，高档食用鱼。幼鱼漂亮到可以当观赏鱼养大再吃。
145,海鲢,Megalops cyprinoides,海水鱼,海鲢科 Megalopidae,6,25.0,100.0,0.3,12.0,中上层,全天,8;9;11;13;14;20;34,9,180,95,0.07,体极侧扁银光闪闪，鳞大如硬币。能用鱼鳔呼吸空气在低氧水存活。中钩后疯狂跳跃洗鳃翻滚，观赏性顶格的搏鱼对象。
146,大西洋大海鲢,Megalops atlanticus,海水鱼,海鲢科 Megalopidae,8,40.0,200.0,2.0,80.0,中上层,全天,8;9;11;13;14;15;20;34;35,10,500,270,0.1,海鲢之王，Silver King。体型是普通海鲢的两倍以上。佛罗里达的传奇游钓目标，钓上一条银王是所有钓手的人生里程碑。
147,梭鱼,Sphyraena barracuda,海水鱼,梭鱼科 Sphyraenidae,5,25.0,120.0,0.3,15.0,中上层,白天,8;9;11;12;13;14;20;34,8,140,75,0.07,体延长如梭，下颚突出满口利齿。热带海域的独行杀手，能瞬间加速到极高速度咬住猎物。某些个体体内含雪卡毒素不宜食用。
148,斑条魣,Sphyraena jello,海水鱼,梭鱼科 Sphyraenidae,4,20.0,80.0,0.2,6.0,中上层,白天,8;9;11;12;13;20,7,90,48,0.06,体银灰有暗色纵纹，印度太平洋常见梭鱼。比大梭鱼体型小但同样凶悍。肉质鲜美是当地重要食用鱼。
149,粉红鲑,Oncorhynchus gorbuscha,洄游鱼,鲑科 Salmonidae,4,20.0,60.0,0.4,3.0,中上层,白天,8;9;11;13;19;20,7,85,45,0.05,最小的太平洋鲑鱼，两年生命周期。雄鱼繁殖期长出夸张的驼背。数量庞大是阿拉斯加生态系统的基石。
150,远东哲罗鱼,Hucho perryi,淡水鱼,鲑科 Salmonidae,8,40.0,180.0,2.0,55.0,中上层,白天,9;11;13;14;15;34,10,480,250,0.09,日本桦太和北海道的幻之鱼伊富。日本最大淡水鱼。极度濒危，在日本被视为国家天然纪念物，一生钓一次便无憾。
151,大白鲨,Carcharodon carcharias,软骨鱼,鼠鲨科 Lamnidae,10,120.0,600.0,200.0,2500.0,全层,全天,9;12;15;20;32;34;35,10,2000,1500,0.2,史上最著名的掠食者，海洋食物链顶端。嗅觉能侦测1公里外的一滴血。钓上大白鲨不是钓鱼，是在挑战生命极限。
152,虎鲨,Galeocerdo cuvier,软骨鱼,真鲨科 Carcharhinidae,9,100.0,500.0,100.0,1500.0,全层,夜间,9;12;15;20;32;34;35,10,1200,700,0.15,体有虎纹斑，什么都吃的海洋垃圾桶。在胃里发现过车牌、轮胎甚至盔甲。仅次于大白鲨的危险鲨鱼。
153,锤头双髻鲨,Sphyrna zygaena,软骨鱼,双髻鲨科 Sphyrnidae,8,60.0,350.0,20.0,400.0,中上层,白天,8;9;12;15;20;32;34,9,700,380,0.12,头部呈T字形如锤子，双眼在两端提供立体视觉。锤头能探测埋藏在沙中的猎物的微弱电信号。最独特的长相，海洋中最酷的鱼。
154,鲸鲨,Rhincodon typus,软骨鱼,鲸鲨科 Rhincodontidae,10,200.0,1200.0,1000.0,15000.0,表层,白天,35,5,5000,5000,0.25,世界最大鱼类，可达18米以上。滤食性巨人只吃浮游生物和小鱼。背上的星斑每一条都独一无二如指纹。温顺的巨人，与它同游是终极梦想。
155,姥鲨,Cetorhinus maximus,软骨鱼,姥鲨科 Cetorhinidae,9,200.0,900.0,800.0,6000.0,表层,白天,35,4,1500,900,0.15,第二大鱼类，张着巨口巡游滤食浮游生物。Basking Shark晒太阳的鲨鱼。虽大但无害，人类比它更危险，历史上被大量捕杀提炼鱼油。
156,灰鲭鲨,Isurus oxyrinchus,软骨鱼,鼠鲨科 Lamnidae,8,50.0,350.0,15.0,400.0,中上层,白天,9;12;15;20;32;34;35,10,800,450,0.12,海洋最快鲨鱼，时速可达74km/h。能跃出水面6米高。身体的流线型连法拉利工程师都来研究。钓灰鲭鲨是速度与激情的极限挑战。
157,蓝鲨,Prionace glauca,软骨鱼,真鲨科 Carcharhinidae,6,40.0,250.0,10.0,180.0,中上层,白天,9;12;15;20;32;34,8,280,160,0.08,体细长靛蓝，海洋中数量最多的鲨鱼之一。群体活动，能进行跨洋迁徙。虽常见但近年数量也在急剧下降。
158,豹纹鲨,Stegostoma fasciatum,软骨鱼,豹纹鲨科 Stegostomatidae,5,30.0,180.0,5.0,60.0,底层,夜间,1;8;9;18;20;34,6,180,95,0.08,幼鱼黑底白条如斑马，成年变成豹纹斑点。温顺底栖鲨鱼，常趴在沙地休息。观赏鲨鱼中最受欢迎的一种。
159,护士鲨,Ginglymostoma cirratum,软骨鱼,绞口鲨科 Ginglymostomatidae,5,40.0,250.0,15.0,150.0,底层,夜间,1;8;9;18;20;34,6,200,105,0.07,吻部有两条肉质触须，酷似护士帽。白天常一堆堆叠在一起睡觉。性情温顺，潜水员可以接近，但被惹急了也会狠咬一口。
160,鳐鱼,Raja porosa,软骨鱼,鳐科 Rajidae,4,20.0,60.0,0.3,3.0,底层,夜间,1;7;8;18;20;24,4,55,30,0.05,体扁平如飞碟，胸鳍宽大如翼。俗称老板鱼或锅盖鱼。肉质独特，晒干后是朝鲜族特色美食。
161,赤魟,Dasyatis akajei,软骨鱼,魟科 Dasyatidae,5,20.0,80.0,0.5,15.0,底层,夜间,1;7;8;18;20;34,6,90,48,0.06,尾部有一根锋利毒刺，曾杀死过鳄鱼猎人。扁平如飞毯在海底飘行。钓到它要特别小心那根尾巴。
162,蝠鲼,Manta birostris,软骨鱼,蝠鲼科 Mobulidae,9,100.0,600.0,50.0,1500.0,中上层,白天,35,6,1000,600,0.15,又名魔鬼鱼，翼展可达7米。海洋中最优雅的生物，会跃出水面翻腾。滤食性，对人类完全无害。与野生蝠鲼共游是潜水者的终极梦想。
163,锯鳐,Pristis pristis,软骨鱼,锯鳐科 Pristidae,8,50.0,300.0,10.0,400.0,底层,夜间,7;9;18;20;34;35,8,450,250,0.12,吻部延长呈锯齿状，如电锯的活化石。极度濒危，全球所有锯鳐物种都在灭绝边缘。用锯齿在鱼群中左右挥舞打昏猎物，科幻生物般的造型。
164,斑竹鲨,Chiloscyllium plagiosum,软骨鱼,天竺鲨科 Hemiscylliidae,3,15.0,60.0,0.15,2.0,底层,夜间,1;8;18;24,3,40,22,0.04,体细长有黑色横纹，小型底栖鲨鱼。俗称狗鲨，常见于水族馆。温顺不咬人，是很多内陆人第一次触摸到鲨鱼的初体验。
165,电鳐,Torpedo torpedo,软骨鱼,电鳐科 Torpedinidae,5,10.0,40.0,0.05,2.0,底层,夜间,1;8;18;24,5,100,55,0.07,体扁平圆盘形，能释放45-220伏电击。古罗马人用活电鳐电击痛风和头痛患者。钓它如同拆盲盒，震动传来才知道中了头奖。
166,日本龙虾,Panulirus japonicus,甲壳类,龙虾科 Palinuridae,6,10.0,40.0,0.1,1.5,底层,夜间,1;7;8;18;20;24,3,200,100,0.06,体红褐色无螯，触角极长。日本料理中的伊势海老。藏在岩礁缝隙中，用长竿探缝是专门技艺。身价不菲的顶级海鲜。
167,锦绣龙虾,Panulirus ornatus,甲壳类,龙虾科 Palinuridae,7,15.0,50.0,0.2,3.0,底层,夜间,1;7;8;18;20;24,3,350,180,0.08,体色极艳丽有蓝绿橙黄斑纹。最大龙虾之一。热带珊瑚礁中的活宝石，观赏与食用价值双高。
168,中华绒螯蟹,Eriocheir sinensis,甲壳类,方蟹科 Grapsidae,4,3.0,10.0,0.01,0.3,底层,夜间,1;6;7;18;23;24;27,1,80,40,0.05,即大闸蟹，螯上有绒毛。秋季洄游入海产卵，正是最肥美时。中国文化中最具代表性的美食符号之一，秋风起蟹脚痒。
169,蓝蟹,Callinectes sapidus,甲壳类,梭子蟹科 Portunidae,3,5.0,20.0,0.02,0.5,底层,夜间,1;6;7;8;18;24,2,35,18,0.04,螯足鲜蓝，游泳足发达如桨。北美东海岸的象征，Chesapeake Bay的蓝色黄金。鲜美多肉，美国人整个夏天都在吃它。
170,梭子蟹,Portunus trituberculatus,甲壳类,梭子蟹科 Portunidae,3,5.0,20.0,0.03,0.6,底层,夜间,1;6;7;8;18;24,2,40,20,0.04,背甲梭形有三个突起。中国沿海最常见食用蟹。秋天的母蟹膏满黄肥，海边人的幸福就是这么简单。
171,椰子蟹,Birgus latro,甲壳类,陆寄居蟹科 Coenobitidae,7,5.0,40.0,0.05,4.0,底层,夜间,1;7;8;18;23;27;34,5,300,155,0.08,世界最大陆生节肢动物，能爬上椰子树剪下椰子。螯力足以夹断人的手指。太平洋岛屿的顶级珍馐，但数量稀少需保护。
172,真蛸,Octopus vulgaris,甲壳类,章鱼科 Octopodidae,4,10.0,60.0,0.1,3.0,底层,夜间,7;8;9;18;34,5,60,32,0.05,八条腕足布满吸盘，三颗心脏蓝色血液。最聪明的无脊椎动物，能开瓶盖走迷宫。韩国的活章鱼刺身让人又爱又怕。
173,金乌贼,Sepia esculenta,甲壳类,乌贼科 Sepiidae,3,5.0,30.0,0.02,1.0,中层,夜间,8;9;11;13;14;18;20,4,45,25,0.04,体内有墨囊和海螵蛸，体色瞬间变化。俗称墨鱼或花枝。日本金泽的乌贼刺身透明如玻璃，是大海的艺术品。
174,太平洋褶柔鱼,Todarodes pacificus,甲壳类,鱿鱼科 Ommastrephidae,3,8.0,40.0,0.02,1.0,中层,夜间,8;9;11;13;14;18;20,4,35,18,0.04,太平洋褶柔鱼，夜间趋光性强。钓鱿鱼用发光钩，一晚上能钓一桶。烤鱿鱼配啤酒是夜市最香的搭配。
175,大王乌贼,Architeuthis dux,甲壳类,大王乌贼科 Architeuthidae,10,100.0,800.0,20.0,500.0,深层,夜间,20;32;34;35,9,1000,550,0.2,深海传说级巨兽，抹香鲸的宿敌。眼睛大如篮球，是人类所知最大无脊椎动物。至今无人活体钓获，仅在深海相机中惊鸿一瞥。
176,刺参,Apostichopus japonicus,甲壳类,刺参科 Stichopodidae,3,5.0,25.0,0.02,0.3,底层,全天,1;6;10;18;24,1,45,22,0.04,体圆筒形如黄瓜，受惊会吐出内脏（可再生）。亚洲最名贵海产品之一，干货价格堪比黄金。海中人参，滋补界的顶流。
177,光棘球海胆,Strongylocentrotus nudus,甲壳类,球海胆科 Strongylocentrotidae,4,3.0,12.0,0.01,0.3,底层,白天,1;8;18;24,1,55,28,0.05,球形满身尖刺，吃的是它的生殖腺（海胆黄）。日本叫雲丹，北海道利尻岛的馬糞海胆被誉为黄中极品。海洋的黄油。
